typname,oid,typlen
bool,16,1
bytea,17,-1
char,18,1
name,19,64
int8,20,8
int2,21,2
int2vector,22,-1
int4,23,4
regproc,24,4
text,25,-1
oid,26,4
tid,27,6
xid,28,4
cid,29,4
oidvector,30,-1
pg_type,71,-1
pg_attribute,75,-1
pg_proc,81,-1
pg_class,83,-1
json,114,-1
xml,142,-1
pg_node_tree,194,-1
pg_ndistinct,3361,-1
pg_dependencies,3402,-1
pg_mcv_list,5017,-1
pg_ddl_command,32,8
xid8,5069,8
point,600,16
lseg,601,32
path,602,-1
box,603,32
polygon,604,-1
line,628,24
float4,700,4
float8,701,8
unknown,705,-2
circle,718,24
money,790,8
macaddr,829,6
inet,869,-1
cidr,650,-1
macaddr8,774,8
aclitem,1033,12
bpchar,1042,-1
varchar,1043,-1
date,1082,4
time,1083,8
timestamp,1114,8
timestamptz,1184,8
interval,1186,16
timetz,1266,12
bit,1560,-1
varbit,1562,-1
numeric,1700,-1
refcursor,1790,-1
regprocedure,2202,4
regoper,2203,4
regoperator,2204,4
regclass,2205,4
regcollation,4191,4
regtype,2206,4
regrole,4096,4
regnamespace,4089,4
uuid,2950,16
pg_lsn,3220,8
tsvector,3614,-1
gtsvector,3642,-1
tsquery,3615,-1
regconfig,3734,4
regdictionary,3769,4
jsonb,3802,-1
jsonpath,4072,-1
txid_snapshot,2970,-1
pg_snapshot,5038,-1
int4range,3904,-1
numrange,3906,-1
tsrange,3908,-1
tstzrange,3910,-1
daterange,3912,-1
int8range,3926,-1
int4multirange,4451,-1
nummultirange,4532,-1
tsmultirange,4533,-1
tstzmultirange,4534,-1
datemultirange,4535,-1
int8multirange,4536,-1
record,2249,-1
_record,2287,-1
cstring,2275,-2
any,2276,4
anyarray,2277,-1
void,2278,4
trigger,2279,4
event_trigger,3838,4
language_handler,2280,4
internal,2281,8
anyelement,2283,4
anynonarray,2776,4
anyenum,3500,4
fdw_handler,3115,4
index_am_handler,325,4
tsm_handler,3310,4
table_am_handler,269,4
anyrange,3831,-1
anycompatible,5077,4
anycompatiblearray,5078,-1
anycompatiblenonarray,5079,4
anycompatiblerange,5080,-1
anymultirange,4537,-1
anycompatiblemultirange,4538,-1
pg_brin_bloom_summary,4600,-1
pg_brin_minmax_multi_summary,4601,-1
_bool,1000,-1
_bytea,1001,-1
_char,1002,-1
_name,1003,-1
_int8,1016,-1
_int2,1005,-1
_int2vector,1006,-1
_int4,1007,-1
_regproc,1008,-1
_text,1009,-1
_oid,1028,-1
_tid,1010,-1
_xid,1011,-1
_cid,1012,-1
_oidvector,1013,-1
_pg_type,210,-1
_pg_attribute,270,-1
_pg_proc,272,-1
_pg_class,273,-1
_json,199,-1
_xml,143,-1
_xid8,271,-1
_point,1017,-1
_lseg,1018,-1
_path,1019,-1
_box,1020,-1
_polygon,1027,-1
_line,629,-1
_float4,1021,-1
_float8,1022,-1
_circle,719,-1
_money,791,-1
_macaddr,1040,-1
_inet,1041,-1
_cidr,651,-1
_macaddr8,775,-1
_aclitem,1034,-1
_bpchar,1014,-1
_varchar,1015,-1
_date,1182,-1
_time,1183,-1
_timestamp,1115,-1
_timestamptz,1185,-1
_interval,1187,-1
_timetz,1270,-1
_bit,1561,-1
_varbit,1563,-1
_numeric,1231,-1
_refcursor,2201,-1
_regprocedure,2207,-1
_regoper,2208,-1
_regoperator,2209,-1
_regclass,2210,-1
_regcollation,4192,-1
_regtype,2211,-1
_regrole,4097,-1
_regnamespace,4090,-1
_uuid,2951,-1
_pg_lsn,3221,-1
_tsvector,3643,-1
_gtsvector,3644,-1
_tsquery,3645,-1
_regconfig,3735,-1
_regdictionary,3770,-1
_jsonb,3807,-1
_jsonpath,4073,-1
_txid_snapshot,2949,-1
_pg_snapshot,5039,-1
_int4range,3905,-1
_numrange,3907,-1
_tsrange,3909,-1
_tstzrange,3911,-1
_daterange,3913,-1
_int8range,3927,-1
_int4multirange,6150,-1
_nummultirange,6151,-1
_tsmultirange,6152,-1
_tstzmultirange,6153,-1
_datemultirange,6155,-1
_int8multirange,6157,-1
_cstring,1263,-1
pg_attrdef,12001,-1
_pg_attrdef,12000,-1
pg_constraint,12003,-1
_pg_constraint,12002,-1
pg_inherits,12005,-1
_pg_inherits,12004,-1
pg_index,12007,-1
_pg_index,12006,-1
pg_operator,12009,-1
_pg_operator,12008,-1
pg_opfamily,12011,-1
_pg_opfamily,12010,-1
pg_opclass,12013,-1
_pg_opclass,12012,-1
pg_am,12015,-1
_pg_am,12014,-1
pg_amop,12017,-1
_pg_amop,12016,-1
pg_amproc,12019,-1
_pg_amproc,12018,-1
pg_language,12021,-1
_pg_language,12020,-1
pg_largeobject_metadata,12023,-1
_pg_largeobject_metadata,12022,-1
pg_largeobject,12025,-1
_pg_largeobject,12024,-1
pg_aggregate,12027,-1
_pg_aggregate,12026,-1
pg_statistic,12029,-1
_pg_statistic,12028,-1
pg_statistic_ext,12031,-1
_pg_statistic_ext,12030,-1
pg_statistic_ext_data,12033,-1
_pg_statistic_ext_data,12032,-1
pg_rewrite,12035,-1
_pg_rewrite,12034,-1
pg_trigger,12037,-1
_pg_trigger,12036,-1
pg_event_trigger,12039,-1
_pg_event_trigger,12038,-1
pg_description,12041,-1
_pg_description,12040,-1
pg_cast,12043,-1
_pg_cast,12042,-1
pg_enum,12045,-1
_pg_enum,12044,-1
pg_namespace,12047,-1
_pg_namespace,12046,-1
pg_conversion,12049,-1
_pg_conversion,12048,-1
