attrelid,attname,atttypid,attstattarget,attlen,attnum,attndims,attcacheoff,atttypmod,attbyval,attalign,attstorage,attcompression,attnotnull,atthasdef,atthasmissing,attidentity,attgenerated,attisdropped,attislocal,attinhcount,attcollation,attacl,attoptions,attfdwoptions,attmissingval
1255,oid,26,-1,4,1,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,proname,19,-1,64,2,0,-1,-1,f,c,p,,t,f,f,,,f,t,0,950,,,,
1255,pronamespace,26,-1,4,3,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,proowner,26,-1,4,4,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,prolang,26,-1,4,5,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,procost,700,-1,4,6,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,prorows,700,-1,4,7,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,provariadic,26,-1,4,8,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,prosupport,24,-1,4,9,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,prokind,18,-1,1,10,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1255,prosecdef,16,-1,1,11,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1255,proleakproof,16,-1,1,12,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1255,proisstrict,16,-1,1,13,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1255,proretset,16,-1,1,14,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1255,provolatile,18,-1,1,15,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1255,proparallel,18,-1,1,16,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1255,pronargs,21,-1,2,17,0,-1,-1,t,s,p,,t,f,f,,,f,t,0,0,,,,
1255,pronargdefaults,21,-1,2,18,0,-1,-1,t,s,p,,t,f,f,,,f,t,0,0,,,,
1255,prorettype,26,-1,4,19,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,proargtypes,30,-1,-1,20,1,-1,-1,f,i,p,,t,f,f,,,f,t,0,0,,,,
1255,proallargtypes,1028,-1,-1,21,1,-1,-1,f,i,x,,f,f,f,,,f,t,0,0,,,,
1255,proargmodes,1002,-1,-1,22,1,-1,-1,f,i,x,,f,f,f,,,f,t,0,0,,,,
1255,proargnames,1009,-1,-1,23,1,-1,-1,f,i,x,,f,f,f,,,f,t,0,950,,,,
1255,proargdefaults,194,-1,-1,24,0,-1,-1,f,i,x,,f,f,f,,,f,t,0,950,,,,
1255,protrftypes,1028,-1,-1,25,1,-1,-1,f,i,x,,f,f,f,,,f,t,0,0,,,,
1255,prosrc,25,-1,-1,26,0,-1,-1,f,i,x,,t,f,f,,,f,t,0,950,,,,
1255,probin,25,-1,-1,27,0,-1,-1,f,i,x,,f,f,f,,,f,t,0,950,,,,
1255,prosqlbody,194,-1,-1,28,0,-1,-1,f,i,x,,f,f,f,,,f,t,0,950,,,,
1255,proconfig,1009,-1,-1,29,1,-1,-1,f,i,x,,f,f,f,,,f,t,0,950,,,,
1255,proacl,1034,-1,-1,30,1,-1,-1,f,i,x,,f,f,f,,,f,t,0,0,,,,
1255,ctid,27,0,6,-1,0,-1,-1,f,s,p,,t,f,f,,,f,t,0,0,,,,
1255,xmin,28,0,4,-2,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,cmin,29,0,4,-3,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,xmax,28,0,4,-4,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,cmax,29,0,4,-5,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1255,tableoid,26,0,4,-6,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1247,oid,26,-1,4,1,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1247,typname,19,-1,64,2,0,-1,-1,f,c,p,,t,f,f,,,f,t,0,950,,,,
1247,typnamespace,26,-1,4,3,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1247,typowner,26,-1,4,4,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1247,typlen,21,-1,2,5,0,-1,-1,t,s,p,,t,f,f,,,f,t,0,0,,,,
1247,typbyval,16,-1,1,6,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1247,typtype,18,-1,1,7,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1247,typcategory,18,-1,1,8,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1247,typispreferred,16,-1,1,9,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1247,typisdefined,16,-1,1,10,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1247,typdelim,18,-1,1,11,0,-1,-1,t,c,p,,t,f,f,,,f,t,0,0,,,,
1247,typrelid,26,-1,4,12,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1247,typsubscript,24,-1,4,13,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
1247,typelem,26,-1,4,14,0,-1,-1,t,i,p,,t,f,f,,,f,t,0,0,,,,
